6.12323e-016	0	-10
3.09017	0	-9.51057
1.89218e-016	3.09017	-9.51057
-3.09017	3.78437e-016	-9.51057
-5.67655e-016	-3.09017	-9.51057
5.87785	0	-8.09017
4.15627	4.15627	-8.09017
3.59915e-016	5.87785	-8.09017
-4.15627	4.15627	-8.09017
-5.87785	7.19829e-016	-8.09017
-4.15627	-4.15627	-8.09017
-1.07974e-015	-5.87785	-8.09017
4.15627	-4.15627	-8.09017
8.09017	0	-5.87785
7.00629	4.04508	-5.87785
4.04508	7.00629	-5.87785
4.9538e-016	8.09017	-5.87785
-4.04508	7.00629	-5.87785
-7.00629	4.04508	-5.87785
-8.09017	9.9076e-016	-5.87785
-7.00629	-4.04508	-5.87785
-4.04508	-7.00629	-5.87785
-1.48614e-015	-8.09017	-5.87785
4.04508	-7.00629	-5.87785
7.00629	-4.04508	-5.87785
9.51057	0	-3.09017
8.78662	3.63954	-3.09017
6.72499	6.72499	-3.09017
3.63954	8.78662	-3.09017
5.82354e-016	9.51057	-3.09017
-3.63954	8.78662	-3.09017
-6.72499	6.72499	-3.09017
-8.78662	3.63954	-3.09017
-9.51057	1.16471e-015	-3.09017
-8.78662	-3.63954	-3.09017
-6.72499	-6.72499	-3.09017
-3.63954	-8.78662	-3.09017
-1.74706e-015	-9.51057	-3.09017
3.63954	-8.78662	-3.09017
6.72499	-6.72499	-3.09017
8.78662	-3.63954	-3.09017
10	0	0
9.51057	3.09017	0
8.09017	5.87785	0
5.87785	8.09017	0
3.09017	9.51057	0
6.12323e-016	10	0
-3.09017	9.51057	0
-5.87785	8.09017	0
-8.09017	5.87785	0
-9.51057	3.09017	0
-10	1.22465e-015	0
-9.51057	-3.09017	0
-8.09017	-5.87785	0
-5.87785	-8.09017	0
-3.09017	-9.51057	0
-1.83697e-015	-10	0
3.09017	-9.51057	0
5.87785	-8.09017	0
8.09017	-5.87785	0
9.51057	-3.09017	0
1	2	0
2	3	0
3	4	0
4	1	0
5	6	1
6	7	2
7	8	2
8	9	3
9	10	3
10	11	4
11	12	4
12	5	1
13	14	5
14	15	6
15	16	7
16	17	7
17	18	8
18	19	9
19	20	9
20	21	10
21	22	11
22	23	11
23	24	12
24	13	5
25	26	13
26	27	14
27	28	15
28	29	16
29	30	16
30	31	17
31	32	18
32	33	19
33	34	19
34	35	20
35	36	21
36	37	22
37	38	22
38	39	23
39	40	24
40	25	13
41	42	25
42	43	26
43	44	27
44	45	28
45	46	29
46	47	29
47	48	30
48	49	31
49	50	32
50	51	33
51	52	33
52	53	34
53	54	35
54	55	36
55	56	37
56	57	37
57	58	38
58	59	39
59	60	40
60	41	25
1	6	2
2	8	3
3	10	4
4	12	1
5	14	6
6	15	7
7	17	8
8	18	9
9	20	10
10	21	11
11	23	12
12	24	5
13	26	14
14	27	15
15	28	16
16	30	17
17	31	18
18	32	19
19	34	20
20	35	21
21	36	22
22	38	23
23	39	24
24	40	13
25	42	26
26	43	27
27	44	28
28	45	29
29	47	30
30	48	31
31	49	32
32	50	33
33	52	34
34	53	35
35	54	36
36	55	37
37	57	38
38	58	39
39	59	40
40	60	25
